ICAO,ObservationTime,WindDirection,WindSpeed,TemperatureC,FlightCategory
"KBWI","2025-09-22T00:07:00.000Z",120,9,20.6,"VFR"
"KDCA","2025-09-22T00:00:00.000Z",100,6,21.7,"VFR"
"KIAD","2025-09-22T00:00:00.000Z",110,5,21.1,"VFR"
"KJFK","2025-09-22T00:00:00.000Z",90,5,15.6,"VFR"
"KPHL","2025-09-22T00:00:00.000Z",100,10,18.9,"VFR"
